,Input Index,Position List,Identifier,Input Label,Label Name,BMU Distance
60,53,"[(3, 2), (0, 2), (0, 2)]",CONTE0553-1-1,0,CONTE-Outlier,0.48578739589830827
61,31,"[(3, 2), (0, 2), (1, 2)]",CONTE0408-1-1,0,CONTE-Outlier,1.5583994986155731
62,67,"[(3, 2), (1, 2)]",TWINST0102-1-1,0,CONTE-Outlier,2.2259768966046023
63,3,"[(3, 2), (0, 1)]",CONTE0137-2-1,0,CONTE-Outlier,1.0708303134059796
64,16,"[(3, 2), (0, 1)]",CONTE0273-1-1,0,CONTE-Outlier,0.5433059746596044
65,29,"[(3, 2), (0, 1)]",CONTE0402-1-1,0,CONTE-Outlier,0.6519492203030494
66,65,"[(3, 2), (0, 1)]",TWINST0089-1-2,0,CONTE-Outlier,0.820108362384333
67,86,"[(0, 1), (3, 1)]",TWINST0272-1-2,0,CONTE-Outlier,3.544428183393371
68,4,"[(0, 1), (5, 0)]",CONTE0144-1-1,0,CONTE-Outlier,0.9780128709226763
69,45,"[(0, 1), (9, 1)]",CONTE0486-1-1,0,CONTE-Outlier,1.4896888548974108
70,49,"[(0, 1), (9, 1)]",CONTE0522-1-1,0,CONTE-Outlier,3.0824383744022206
71,57,"[(0, 1), (9, 1)]",TWINST0024-1-1,0,CONTE-Outlier,1.0390130833963453
72,85,"[(1, 1), (0, 0)]",TWINST0251-1-2,0,CONTE-Outlier,1.159862603630901
73,54,"[(1, 1), (0, 1)]",CONTE0554-1-1,0,CONTE-Outlier,0.8561596563348332
74,58,"[(1, 1), (1, 1)]",TWINST0031-1-2,0,CONTE-Outlier,0.9410389736717976
75,60,"[(1, 1), (1, 1)]",TWINST0051-1-1,0,CONTE-Outlier,0.5641384234809129
76,27,"[(1, 1), (4, 1)]",CONTE0397-1-1,0,CONTE-Outlier,0.7373274525616784
77,81,"[(1, 1), (7, 1)]",TWINST0244-1-2,0,CONTE-Outlier,1.5538274545703818
78,84,"[(2, 1), (0, 2)]",TWINST0249-1-1,0,CONTE-Outlier,0.8183536210884322
79,38,"[(2, 1), (2, 1)]",CONTE0461-1-1,0,CONTE-Outlier,0.996626943719858
80,69,"[(2, 1), (2, 3)]",TWINST0119-1-1,0,CONTE-Outlier,1.6823565907190787
81,59,"[(2, 1), (1, 1)]",TWINST0033-1-2,0,CONTE-Outlier,1.2059180208370357
82,7,"[(2, 1), (1, 2)]",CONTE0177-1-1,0,CONTE-Outlier,1.108903707431073
83,11,"[(2, 1), (1, 3)]",CONTE0205-2-1,0,CONTE-Outlier,0.6082170749041107
84,18,"[(2, 1), (1, 4)]",CONTE0285-1-1,0,CONTE-Outlier,0.8443293858341557
85,46,"[(3, 1), (0, 0)]",CONTE0499-1-1,0,CONTE-Outlier,1.6959353154581585
86,37,"[(3, 1), (2, 0)]",CONTE0455-1-1,0,CONTE-Outlier,0.6215670056378327
87,91,"[(3, 1), (0, 3)]",TWINST0326-1-2,0,CONTE-Outlier,1.6258931037993403
88,74,"[(3, 1), (1, 4)]",TWINST0150-1-2,0,CONTE-Outlier,1.0889995442470495
89,35,"[(3, 1), (2, 3)]",CONTE0445-1-1,0,CONTE-Outlier,0.9539397679793795
90,80,"[(3, 1), (1, 2)]",TWINST0203-1-2,0,CONTE-Outlier,0.7671402625875111
91,72,"[(3, 1), (3, 2)]",TWINST0132-1-1,0,CONTE-Outlier,0.8612561093904846
