,Input Index,Position List,Identifier,Input Label,Label Name,BMU Distance
253,348,"[(4, 0), (6, 0)]",NDARINVKVMU7J2K,5,ABCD-ASD,6.37697410254435
254,352,"[(4, 0), (6, 0)]",NDARINVLHDVLUHD,5,ABCD-ASD,2.2849590542595943
273,271,"[(4, 0), (5, 0)]",NDARINV6GNKZJJN,5,ABCD-ASD,1.350063495507584
274,279,"[(4, 0), (5, 0)]",NDARINV7ZM9YYTN,5,ABCD-ASD,1.620715442905817
275,375,"[(4, 0), (5, 0)]",NDARINVVJRZBX7W,5,ABCD-ASD,1.1357348297278822
280,377,"[(4, 0), (4, 0)]",NDARINVW7WRCR3R,5,ABCD-ASD,1.1179375003558676
281,301,"[(4, 0), (4, 1)]",NDARINVBW8Y49L6,5,ABCD-ASD,1.379736096753898
282,322,"[(4, 0), (4, 1)]",NDARINVF7G1YTJV,5,ABCD-ASD,1.0785287597076474
293,341,"[(4, 1), (0, 1)]",NDARINVJMNGNMM1,5,ABCD-ASD,1.8323240930345184
294,367,"[(4, 1), (0, 1)]",NDARINVTMCFFAJT,5,ABCD-ASD,0.9149686907225548
303,270,"[(4, 1), (1, 0)]",NDARINV64VGNDWA,5,ABCD-ASD,1.807724815681196
309,250,"[(4, 1), (1, 1)]",NDARINV249R6TFP,5,ABCD-ASD,0.8750609735994127
313,336,"[(4, 1), (4, 0)]",NDARINVH9ARHTRT,5,ABCD-ASD,1.8630587461584025
314,252,"[(4, 1), (4, 1)]",NDARINV2H2UTYYP,5,ABCD-ASD,1.5066247481051767
315,274,"[(4, 1), (4, 1)]",NDARINV7GTT6FAU,5,ABCD-ASD,1.6808144778299603
316,309,"[(4, 1), (4, 1)]",NDARINVCL9HK006,5,ABCD-ASD,1.3238827991271636
317,319,"[(4, 1), (4, 1)]",NDARINVEK4406ZW,5,ABCD-ASD,1.0875909936530848
318,328,"[(4, 1), (4, 1)]",NDARINVFRT17LW2,5,ABCD-ASD,1.166524504289826
319,333,"[(4, 1), (4, 1)]",NDARINVH3WNU4JB,5,ABCD-ASD,1.8638984453521816
320,335,"[(4, 1), (4, 1)]",NDARINVH8FRH0UK,5,ABCD-ASD,0.7851203709072864
321,371,"[(4, 1), (4, 1)]",NDARINVUTCRUX6L,5,ABCD-ASD,0.9948427740014989
322,385,"[(4, 1), (4, 1)]",NDARINVYCRTDT3X,5,ABCD-ASD,1.6307624062827433
323,391,"[(4, 1), (4, 1)]",NDARINVYUZG9ZNP,5,ABCD-ASD,0.996881612725116
324,316,"[(4, 1), (4, 2)]",NDARINVE0577FC4,5,ABCD-ASD,1.3116110801846301
